domain,ttl,ip_count,ns_count,label
rpd.dfiwccb.cn,180.0,13,4,1
sebe.dfiwccb.cn,158.0,13,4,1
sawz.dfiwccb.cn,77.0,13,4,1
shpq.dfiwccb.cn,180.0,13,4,1
sww.dfiwccb.cn,180.0,12,4,1
rnk.dfiwccb.cn,153.0,13,4,1
rgos.dfiwccb.cn,180.0,13,4,1
kosd.dfiwccb.cn,161.0,13,4,1
kvle.dfiwccb.cn,144.0,13,4,1
szw.dfiwccb.cn,180.0,13,4,1
selb.dfiwccb.cn,147.0,13,4,1
kiq.dfiwccb.cn,180.0,13,4,1
knui.dfiwccb.cn,180.0,13,4,1
rfs.dfiwccb.cn,110.0,13,4,1
rkcb.dfiwccb.cn,180.0,13,4,1
sql.dfiwccb.cn,126.0,13,4,1
sgkz.dfiwccb.cn,180.0,13,4,1
cry.idcexdfh.cn,180.0,13,4,1
cnus.idcexdfh.cn,180.0,13,4,1
knt.idcexdfh.cn,180.0,13,4,1
kwe.idcexdfh.cn,180.0,13,4,1
cudq.idcexdfh.cn,180.0,12,4,1
cvkr.idcexdfh.cn,180.0,13,4,1
shtj.idcexdfh.cn,180.0,13,4,1
swxx.idcexdfh.cn,180.0,13,4,1
kwqf.idcexdfh.cn,180.0,12,4,1
kxc.idcexdfh.cn,180.0,13,4,1
sjc.idcexdfh.cn,180.0,13,4,1
sghp.idcexdfh.cn,180.0,13,4,1
rpn.idcexdfh.cn,24.0,13,4,1
rwku.idcexdfh.cn,180.0,13,4,1
kvht.idcexdfh.cn,180.0,13,4,1
kjww.idcexdfh.cn,180.0,13,4,1
gmp.idcexdfh.cn,174.0,13,4,1
gvc.idcexdfh.cn,180.0,13,4,1
gzk.idcexdfh.cn,180.0,13,4,1
gbkl.idcexdfh.cn,180.0,13,4,1
rfrl.idcexdfh.cn,180.0,13,4,1
rij.idcexdfh.cn,180.0,13,4,1
kdyk.idcexdfh.cn,180.0,13,4,1
kmd.idcexdfh.cn,180.0,12,4,1
kqbw.idcexdfh.cn,180.0,12,4,1
klo.idcexdfh.cn,180.0,13,4,1
sswj.idcexdfh.cn,180.0,13,4,1
sqjj.idcexdfh.cn,180.0,13,4,1
rwoa.iixdfhhj.cn,180.0,13,4,1
ryt.iixdfhhj.cn,180.0,13,4,1
thl.iixdfhhj.cn,180.0,13,4,1
tcr.iixdfhhj.cn,180.0,13,4,1
krfl.iixdfhhj.cn,180.0,13,4,1
klij.iixdfhhj.cn,180.0,13,4,1
sbxh.iixdfhhj.cn,180.0,13,4,1
svt.iixdfhhj.cn,180.0,13,4,1
rxrf.iixdfhhj.cn,180.0,13,4,1
rfx.iixdfhhj.cn,180.0,12,4,1
gbr.iixdfhhj.cn,163.0,13,4,1
gitd.iixdfhhj.cn,180.0,13,4,1
ksz.iixdfhhj.cn,175.0,12,4,1
ktl.iixdfhhj.cn,180.0,13,4,1
kuhe.iixdfhhj.cn,163.0,13,4,1
kfh.iixdfhhj.cn,180.0,13,4,1
kbt.iixdfhhj.cn,180.0,13,4,1
kepn.iixdfhhj.cn,180.0,13,4,1
rxto.dfhijjew.cn,180.0,13,4,1
rawu.dfhijjew.cn,180.0,13,4,1
slh.dfhijjew.cn,180.0,13,4,1
smn.dfhijjew.cn,180.0,13,4,1
csoa.dfhijjew.cn,180.0,13,4,1
cljs.dfhijjew.cn,180.0,13,4,1
gyf.dfhijjew.cn,180.0,13,4,1
